Number	WNPRC Number	TBS sample number	Date Sample is Collected	Time of Collection	Individual	Dry weight poop only	Dry weight without seeds	Assay date	Volume of sample used (uL)		
20	WNPRC-2018-212	SP174	09/11/2017	7:55	Papaya	0.18	0.14	11/15/18	10		
21	WNPRC-2018-219	SP184	13/11/2017	8:10	Papaya	0.20	0.06	11/15/18	10		
22	WNPRC-2018-229	SP186	20/11/2017	7:58	Papaya	0.19	0.09	11/15/18	10		
23	WNPRC-2018-241	SP207	26/11/2017	7:42	Papaya	0.08	0.05	11/15/18	10		
24	WNPRC-2018-249	SP211	30/11/2017	13:03	Papaya	0.07	0.04	11/15/18	10		
25	WNPRC-2018-253	SP209	01/12/2017	7:17	Papaya	0.16	0.14	11/15/18	10		
26	WNPRC-2018-264	LA073	05/12/2017	11:16	Papaya	0.55	0.11	11/15/18	10		
27	WNPRC-2018-273	SP229	12/12/2017	14:40	Papaya	0.11	0.07	11/15/18	10		
28	WNPRC-2018-278	SP236	13/12/2017	14:12	Papaya	0.09	0.06	11/15/18	10		
29	WNPRC-2018-281	SP233	14/12/2017	10:27	Papaya	0.10	0.06	11/15/18	10		
30	WNPRC-2018-286	SP238	17/12/2017	7:10	Papaya	0.09	0.09	11/15/18	10		
31	WNPRC-2018-291	SP239	20/12/2017	14:25	Papaya	0.06	0.04	11/15/18	10		
32	WNPRC-2018-301	LA079	24/12/2017	14:43	Papaya	0.09	0.07	11/15/18	10		
33	WNPRC-2018-313	LA096	29/12/2017	14:17	Papaya	0.21	0.18	11/15/18	10		
34	WNPRC-2018-324	LA106	02/01/2018	12:23	Papaya	0.12	0.11	11/15/18	10		
1	WNPRC-2018-334	LA119	04/01/2018	7:52	Papaya	0.16	0.08	11/16/18	10		
2	WNPRC-2018-340	LA125	07/01/2018	14:53	Papaya	0.10	0.09	11/16/18	10		
3	WNPRC-2018-345	LA130	09/01/2018	10:46	Papaya	0.12	0.08	11/16/18	10		
4	WNPRC-2018-357	LA147	14/01/2018	10:57	Papaya	0.14	0.06	11/16/18	10		
5	WNPRC-2018-360	LA145	15/01/2018	12:23	Papaya	0.11	0.06	11/16/18	10		
6	WNPRC-2018-369	KNM003	23/01/2018	12:29	Papaya	0.13	0.06	11/16/18	10		
7	WNPRC-2018-384	KNM019	30/01/2018	7:26	Papaya	0.13	0.09	11/16/18	10		
8	WNPRC-2018-388	KNM023	31/01/2018	11:16	Papaya	0.11	0.07	11/16/18	10		
9	WNPRC-2018-393	LA154	03/02/2018	14:37	Papaya	0.11	0.08	11/16/18	10		
10	WNPRC-2018-398	LA156	04/02/2018	12:56	Papaya	0.01	0.07	11/16/18	10		
11	WNPRC-2018-405	LA166	05/02/2018	11:01	Papaya	0.13	0.10	11/16/18	10		
12	WNPRC-2018-413	KNM027	08/02/2018	16:05	Papaya	0.14	0.13	11/16/18	10		
13	WNPRC-2018-032	LA020	04/09/2017	16:07	Poquer	0.12	0.11	11/16/18	10		
14	WNPRC-2018-040	SP025	08/09/2017	9:49	Poquer	0.11	0.11	11/16/18	10		
15	WNPRC-2018-043	SP017	09/09/2017	12:45	Poquer	0.16	0.12	11/16/18	10		
16	WNPRC-2018-058	SP047	13/09/2017	10:31	Poquer?	0.13	0.11	11/16/18	10		
17	WNPRC-2018-070	SP057	15/09/2017	6:10	Poquer	0.12	0.10	11/16/18	10		
18	WNPRC-2018-072	SP039	18/09/2017	13:02	Poquer	0.14	0.11	11/16/18	10		
19	WNPRC-2018-080	SP062	19/09/2017	17:45	Poquer	0.12	0.08	11/16/18	10		
20	WNPRC-2018-101	SP094	25/09/2017	10:10	Poquer	0.18	0.08	11/16/18	10		
21	WNPRC-2018-105	SP095	26/09/2017	11:24	Poquer?SF?	0.15	0.14	11/16/18	10		
22	WNPRC-2018-119	LA024	01/10/2017	11:58	Poquer	0.09	0.08	11/16/18	10		
23	WNPRC-2018-120	SP112	30/09/2017	11:36	Poquer	0.13	0.07	11/16/18	10		
24	WNPRC-2018-123	SP113	05/10/2017	8:24	Poquer?	0.15	0.11	11/16/18	10		
25	WNPRC-2018-131	SP118	08/10/2017	13:45	Poquer	0.15	0.14	11/16/18	10		
26	WNPRC-2018-140	SP132	12/10/2017	9:35	Poquer	0.11	0.08	11/16/18	10		
27	WNPRC-2018-145	SP142	13/10/2017	10:20	Poquer	0.10	0.07	11/16/18	10		
28	WNPRC-2018-157	SP146	19/10/2017	13:01	Poquer	0.18	0.09	11/16/18	10		
29	WNPRC-2018-167	LA029	23/10/2017	13:52	Poquer	0.18	0.15	11/16/18	10		
30	WNPRC-2018-170	LA033	24/10/2017	9:45	Poquer	0.13	0.09	11/16/18	10		
31	WNPRC-2018-178	LA042	28/10/2017	7:43	Poquer	0.18	0.12	11/16/18	10		
32	WNPRC-2018-189	LA053	01/11/2017	10:01	Poquer	0.21	0.13	11/16/18	10		
33	WNPRC-2018-196	SP160	05/11/2017	8:08	Poquer	0.20	0.08	11/16/18	10		
34	WNPRC-2018-201	SP169	05/11/2017	10:04	Poquer	0.18	0.15	11/16/18	10		
1	WNPRC-2018-209	SP168	08/11/2017	14:55	Poquer	0.12	0.08	11/16/18	10		
2	WNPRC-2018-221	SP179	14/11/2017	17:21	Poquer	0.15	0.09	11/16/18	10		
3	WNPRC-2018-228	SP194	19/11/2017	13:50	Poquer?	0.18	0.08	11/16/18	10		
4	WNPRC-2018-237	SP182	24/11/2017	12:40	Poquer	6.11	0.06	11/16/18	10		
5	WNPRC-2018-246	SP198	30/11/2017	9:13	Poquer	0.14	0.08	11/16/18	10		
6	WNPRC-2018-259	SP204	04/12/2017	10:33	Poquer?	0.12	0.12	11/16/18	10		
7	WNPRC-2018-266	LA074	06/12/2017	10:30	Poquer	0.07	0.06	11/16/18	10		
8	WNPRC-2018-267	LA075	07/12/2017	8:28	Poquer	0.16	0.12	11/16/18	10		
9	WNPRC-2018-277	SP235	13/12/2017	11:24	Poquer	0.16	0.15	11/16/18	10		
10	WNPRC-2018-283	SP237	14/12/2017	10:51	Poquer	0.11	0.07	11/16/18	10		
11	WNPRC-2018-294	SP243	20/12/2017	13:58	Poquer	0.11	0.10	11/16/18	10		
12	WNPRC-2018-302	LA083	24/12/2017	11:55	Poquer	0.13	0.13	11/16/18	10		
13	WNPRC-2018-308	LA090	29/12/2017	13:30	Poquer	0.05	0.05	11/16/18	10		
14	WNPRC-2018-311	LA094	29/12/2017	10:03	Poquer?	0.07	0.07	11/16/18	10		
15	WNPRC-2018-322	LA104	02/01/2018	8:24	Poquer	0.07	0.06	11/16/18	10		
16	WNPRC-2018-336	LA123	04/01/2018	10:42	Poquer	0.10	0.09	11/16/18	10		
17	WNPRC-2018-346	LA131	09/01/2018	13:28	Poquer	0.14	0.10	11/16/18	10		
18	WNPRC-2018-358	LA137	15/01/2018	9:46	Poquer	0.14	0.09	11/16/18	10		
19	WNPRC-2018-374	KNM007	25/01/2018	9:16	Poquer	0.07	0.07	11/16/18	10		
20	WNPRC-2018-386	KNM021	31/01/2018	9:17	Poquer	0.11	0.11	11/16/18	10		
21	WNPRC-2018-392	LA153	03/02/2018	12:22	Poquer	0.12	0.08	11/16/18	10		
22	WNPRC-2018-397	LA155	04/02/2018	9:10	Poquer	0.09	0.08	11/16/18	10		
23	WNPRC-2018-422	KNM035	09/02/2018	16:53	Poquer	0.12	0.12	11/16/18	10		
24	WNPRC-2018-426	KNM037	10/02/2018	6:46	Poquer?	0.21	0.14	11/16/18	10		
25	WNPRC-2018-428	KNM040	10/02/2018	10:45	Poquer?	0.11	0.08	11/16/18	10		
26	WNPRC-2018-433	KNM041	14/02/2018	11:15	Poquer	0.07	0.07	11/16/18	10		
27	WNPRC-2018-453	KNM069	19/02/2018	8:43	Poquer?	0.04	0.03	11/16/18	10		
28	WNPRC-2018-045	SP033	09/09/2017	7:16	Pepa	0.14	0.11	11/16/18	10		
29	WNPRC-2018-053	SP036	10/09/2017	8:29	Pepa	0.17	0.12	11/16/18	10		
30	WNPRC-2018-060	SP058	13/09/2017	10:16	Pepa	0.17	0.08	11/16/18	10		
31	WNPRC-2018-065	SP042	15/09/2017	14:06	Pepa	0.11	0.05	11/16/18	10		
32	WNPRC-2018-085	SP069	20/09/2017	9:15	Pepa?	0.08	0.05	11/16/18	10		
33	WNPRC-2018-089	SP065	21/09/2017	14:10	Pepa	0.13	0.09	11/16/18	10		
34	WNPRC-2018-104	SP092	26/09/2017	7:16	Pepa	0.21	0.12	11/16/18	10		
1	WNPRC-2018-122	SP110	05/10/2017	6:56	Pepa?	0.26	0.13	11/16/18	10		
2	WNPRC-2018-132	SP121	08/10/2017	12:25	Pepa	0.16	0.15	11/16/18	10		
3	WNPRC-2018-137	SP127	12/10/2017	9:08	Pepa?	0.11	0.08	11/16/18	10		
4	WNPRC-2018-148	SP135	14/10/2017	8:25	Pepa	0.15	0.08	11/16/18	10		
5	WNPRC-2018-154	SP134	18/10/2017	12:57	Pepa	0.11	0.10	11/16/18	10		
6	WNPRC-2018-171	LA034	24/10/2017	12:05	Pepa	0.11	0.09	11/16/18	10		
7	WNPRC-2018-181	LA048	28/10/2017	13:01	Pepa	0.16	0.15	11/16/18	10		
8	WNPRC-2018-190	LA054	01/11/2017	11:34	Pepa?	0.27	0.11	11/16/18	10		
9	WNPRC-2018-195	SP159	05/11/2017	7:46	Pepa	0.25	0.19	11/16/18	10		
10	WNPRC-2018-213	SP175	09/11/2017	7:45	Pepa	0.21	0.13	11/16/18	10		
11	WNPRC-2018-217	LA066	13/11/2017	7:00	Pepa?	0.16	0.07	11/16/18	10		
12	WNPRC-2018-224	SP192	14/11/2017	7:10	Pepa	0.19	0.09	11/16/18	10		
13	WNPRC-2018-230	SP195	20/11/2017	9:35	Pepa?	0.16	0.09	11/16/18	10		
14	WNPRC-2018-240	SP206	26/11/2017	11:50	Pepa	0.10	0.09	11/16/18	10		
15	WNPRC-2018-252	SP208	01/12/2017	9:15	Pepa	0.11	0.06	11/16/18	10		
16	WNPRC-2018-268	SP221	07/12/2017	16:13	Pepa?	0.14	0.09	11/16/18	10		
17	WNPRC-2018-284	SP245	14/12/2017	8:24	Pepa?	0.09	0.07	11/16/18	10		
18	WNPRC-2018-285	SP248	15/12/2017	9:06	Pepa?	0.14	0.10	11/16/18	10		
19	WNPRC-2018-293	SP242	20/12/2017	17:16	Pepa	0.11	0.10	11/16/18	10		
20	WNPRC-2018-297	LA078	23/12/2017	8:24	Pepa	0.07	0.06	11/16/18	10		
21	WNPRC-2018-300	LA077	24/12/2017	15:36	Pepa?	0.07	0.05	11/16/18	10		
22	WNPRC-2018-312	LA095	29/12/2017	12:02	Pepa	0.12	0.08	11/16/18	10		
23	WNPRC-2018-323	LA105	02/01/2018	9:25	Pepa???	0.05	0.04	11/16/18	10		
24	WNPRC-2018-341	LA126	07/01/2018	16:02	Pepa	0.11	0.09	11/16/18	10		
25	WNPRC-2018-356	LA144	14/01/2018	9:27	Pepa	0.15	0.11	11/16/18	10		
26	WNPRC-2018-359	LA138	15/01/2018	10:31	Pepa	0.07	0.07	11/16/18	10		
27	WNPRC-2018-368	KNM001A	23/01/2018	9:08	Pepa	0.09	0.06	11/16/18	10		
28	WNPRC-2018-376	KNM014	25/01/2018	8:46	Pepa	0.13	0.10	11/16/18	10		
29	WNPRC-2018-383	KNM017	29/01/2018	16:39	Pepa	0.13	0.10	11/16/18	10		
30	WNPRC-2018-387	KNM022	31/01/2018	14:33	Pepa	0.12	0.12	11/16/18	10		
31	WNPRC-2018-391	LA152	03/02/2018	9:03	Pepa?	0.07	0.07	11/16/18	10		
32	WNPRC-2018-420	KNM029	09/02/2018	8:00	Pepa?	0.09	0.07	11/16/18	10		
33	WNPRC-2018-427	KNM039	10/02/2018	15:13	Pepa?	0.08	0.07	11/16/18	10		
34	WNPRC-2018-443	KNM049	18/02/2018	8:40	Pepa	0.09	0.06	11/16/18	10		
1	WNPRC-2018-457	KNM076	23/02/2018	12:50	Pepa?	0.09	0.08	11/16/18	10		
2	WNPRC-2018-460	KNM001B	23/01/2018	9:08	Pepa	0.09	0.06	11/16/18	10		
